,Episodes,Scores
0,0.0,475.3718148056026
1,1.0,401.2428137635147
2,2.0,489.129232721088
3,3.0,515.4400995834092
4,4.0,535.4259318450362
5,5.0,461.3399556802768
6,6.0,441.2558961302928
7,7.0,526.9739845133062
8,8.0,444.89608857617793
9,9.0,506.2758770160682
10,10.0,460.35877700350034
11,11.0,624.0949615345461
12,12.0,1429.3943594132659
13,13.0,2441.639356718877
14,14.0,2499.8788211805963
15,15.0,2498.60148540775
16,16.0,2494.2083794045475
17,17.0,2499.7407497358904
18,18.0,2496.368513619372
19,19.0,2498.1466623145243
20,20.0,2487.396649034006
21,21.0,2499.851537539405
22,22.0,2498.5892295511285
23,23.0,2442.4597474844204
24,24.0,2468.348248526074
25,25.0,2451.9034129004754
26,26.0,2385.960301037639
27,27.0,2007.2083529791641
28,28.0,1524.9045433632637
29,29.0,1427.9917646834297
30,30.0,1348.7948846300292
31,31.0,1274.976045092401
32,32.0,1257.0422553687927
33,33.0,1166.770606486367
34,34.0,1103.765662137497
35,35.0,1034.7418989898179
36,36.0,1054.3312905470793
37,37.0,1149.6757463275433
38,38.0,1123.267421246266
39,39.0,1150.0927376877783
40,40.0,1129.4995735820492
41,41.0,1143.6823384715067
42,42.0,1187.7496056623384
43,43.0,1160.7200268407832
44,44.0,1117.6292357258897
45,45.0,1317.6089917696468
46,46.0,1377.3272555646454
47,47.0,1259.5206604591574
48,48.0,1424.2472650636535
49,49.0,1599.1586511801695
50,50.0,1509.250174777283
51,51.0,1484.2894033982689
52,52.0,1651.1454149651381
53,53.0,1433.560426193139
54,54.0,1472.9050333104062
55,55.0,1329.9336572154982
56,56.0,1831.1162689707592
57,57.0,1793.2992483129524
58,58.0,1312.32847923954
59,59.0,1793.1767782993209
60,60.0,1638.170576393443
61,61.0,1758.1315220385586
62,62.0,1997.6448139831523
63,63.0,1978.4590402871472
64,64.0,1876.7177761352384
65,65.0,1805.5431517480372
66,66.0,1843.81583322959
67,67.0,1949.6036462359798
68,68.0,1924.3041837441858
69,69.0,1871.3911566996912
70,70.0,1866.6987723383838
71,71.0,1884.457622340343
72,72.0,1866.2720031959032
73,73.0,1822.5988357327296
74,74.0,1854.2462989802252
75,75.0,1822.2844069403804
76,76.0,1831.3800130925483
77,77.0,1812.2049726400426
78,78.0,1869.5108489483769
79,79.0,1801.7796247668227
80,80.0,1807.852594814266
81,81.0,1832.2107941271574
82,82.0,1884.8522773659952
83,83.0,1841.9407273133586
84,84.0,1816.0627548443538
85,85.0,1844.0858546696115
86,86.0,1852.0475422618383
87,87.0,1823.4750163478896
88,88.0,1881.9904512440048
89,89.0,1813.1115181790203
90,90.0,1832.810476080777
91,91.0,1839.0865810031648
92,92.0,1824.2804206151682
93,93.0,1859.2579526970271
94,94.0,1820.7242528538764
95,95.0,1843.3436855378136
96,96.0,1839.4288057844121
97,97.0,1837.3649484529951
98,98.0,1814.9107005754406
99,99.0,1825.239749904683
100,100.0,1843.8836595921462
101,101.0,1841.9444861451695
102,102.0,1832.8475215935975
103,103.0,1835.748668571982
104,104.0,1838.8961420248734
105,105.0,1831.4776236061982
106,106.0,1817.4864429567801
107,107.0,1857.2120372674826
108,108.0,1823.3368697300918
109,109.0,1865.3895445814549
110,110.0,1828.8415942930371
111,111.0,1814.555089030169
112,112.0,1798.4487572054434
113,113.0,1823.1452667434637
114,114.0,1801.6071694734153
115,115.0,1801.8097228697375
116,116.0,1827.5345487046172
117,117.0,1842.7754536260081
118,118.0,1822.8743294127712
119,119.0,1833.0840819363737
120,120.0,1815.507729910896
121,121.0,1828.6253183357019
122,122.0,1812.607300402659
123,123.0,1825.3956549563266
124,124.0,1828.8071960162283
125,125.0,1826.2528624315503
126,126.0,1793.6807907795267
127,127.0,1778.8191959484236
128,128.0,1813.4260260987244
129,129.0,1805.7500455622192
130,130.0,1814.6911912017006
131,131.0,1811.0264620414564
132,132.0,1796.4167427606699
133,133.0,1815.3115789902654
134,134.0,1813.7536265067663
135,135.0,1790.6087113401106
136,136.0,1813.0242874832018
137,137.0,1821.3503817659314
138,138.0,1796.55787665387
139,139.0,1805.3032401599373
140,140.0,1799.9049294567253
141,141.0,1799.0990349891213
142,142.0,1826.816879578687
143,143.0,1792.6445056092332
144,144.0,1803.263055835067
145,145.0,1798.0120086046081
146,146.0,1796.5844749740818
147,147.0,1820.4158055348373
148,148.0,1806.190529058284
149,149.0,1800.763572228314
150,150.0,1783.9550692399023
151,151.0,1784.5601975257746
152,152.0,1781.748456640981
153,153.0,1779.811982303046
154,154.0,1801.733939909918
155,155.0,1789.3573659286785
156,156.0,1774.810522383577
157,157.0,1782.770933780663
158,158.0,1782.1499559306815
159,159.0,1760.8673741449115
160,160.0,1782.879656507067
161,161.0,1777.7834268366705
162,162.0,1778.6391391249817
163,163.0,1764.3602845412456
164,164.0,1811.1034881794237
165,165.0,1813.5670251720069
166,166.0,1755.7202975997636
167,167.0,1792.3834649897715
168,168.0,1771.666036088573
169,169.0,1781.8779440301741
170,170.0,1805.6564562023182
171,171.0,1798.23375878847
172,172.0,1770.5077426455764
173,173.0,1780.8923683805795
174,174.0,1740.085303077489
175,175.0,1790.1624557071964
176,176.0,1791.3981588440236
